ID;Компонент;Канал/тип;Категория;Блокирующий;Триггер показа;Регион/воркгруппа;Текст (ключи / хардкод);Язык в макете;Кнопки;Действие после кнопки / результат;Источник;Заметки/проблемы
M-11;CouponsAfterRegModal;Модалка промо;Бонусы / онбординг;Нет;showCouponsAfterRegModal=true, контент загружен, заданы лимиты (lossLimits/betsData);SIGAP_BRAZIL;«Coupons after registration» / «Go to coupons»;EN (хардкод);Жёлтая (Go to coupons) / Закрыть;Жёлтая → регистрирует событие, закрывает модалку, редирект specialProjects/coupons (tab=mytickets). Закрытие → просто сбрасывает флаг показа;PDF dev-doc;Текст EN при регионе BRAZIL (ожидается PT)
M-12;LimitsAfterRegModal;Модалка форма (обязательная);Responsible Gaming / онбординг;Да;Залогинен, после успешной верификации, лимиты ещё не заданы (нет lossData/betsData);SIGAP_BRAZIL;limits_after_reg_confirm_title / _description / loss_amount_key / bets_amount_key / _confirm;i18n-ключ;Подтвердить;Подтверждение → setGamblerLimits для loss и bets с force:true, ставит cookie adult=true, после сохранения закрывается. Авто-закрытие если лимиты уже заданы;PDF dev-doc;—
E-01;levelUpModal;Модалка event (socket);Геймификация;Нет;Notify типа level (или unread при загрузке);Все;«You have reached the level 1!»;EN (хардкод);Play;Play → переход к игре/уровню (детали в доке не указаны);PDF dev-doc;Дублирует «Nivel 1» из M-09 на другом языке
E-02;vipStatusUpModal;Модалка event (socket);Геймификация / VIP;Нет;Notify vipStatusUpdate;Все;«Congratulations, you have reached VIP gold status!»;EN (хардкод);More detailed;More detailed → подробности о привилегиях. На игровых страницах показ откладывается до смены роута;PDF dev-doc;—
E-03;wagerWinModal;Модалка event (socket);Бонусы / выигрыш;Нет;Notify wager/freebet/freespin win;Все;«Your winning $141.99»;EN (хардкод);Get / Continue the game;Get → забрать выигрыш. Continue the game → вернуться в игру;PDF dev-doc;—
E-04;referralWinModal;Модалка event (socket);Бонусы / реферал;Нет;Notify referral;Все;«The amount of accrual ... Refer a friend $72.00»;EN (хардкод);Take;Take → зачисление/закрытие;PDF dev-doc;—
E-05;availableBonusModal;Модалка event (socket);Бонусы;Нет;События availableBonusLight;Все;«Choose a bonus for activation» / «100FS to casino»;EN (хардкод);Choose / Activate;Choose → выбор бонуса (раскрывает условия). Activate → активация;PDF dev-doc;—
E-06;cardsNewCardModal;Модалка event (анимация);Геймификация / cards;Нет;Ивент получения новой карточки (firstCardAnimationHandler);Все;(анимация, текст н/д);—;Показывает анимационную модалку новой карточки;PDF dev-doc;Текст и кнопки в материалах не зафиксированы
E-07;promoCodeInfoModal;Модалка event;Промокоды;Нет;Успешная активация промокода, isPopup=true;Все;«Promo activated / Your promocode was successfully activated»;EN (хардкод);Open promotions;Open promotions → переход в раздел акций;PDF dev-doc;—
E-08;noDemoModeModal;Модалка event;Доступ к игре;Да (гейт);Запуск игры без демо-режима;Все;«Space Adventure / Demo mode is not available... Please sign in or sign up»;EN (хардкод);Sign up / Sign in;Sign up → регистрация. Sign in → вход. Без авторизации игра не запускается;PDF dev-doc;Два имени gameNoDemoModal/noDemoModeModal — вероятно дубль
T-01;Alert: Atualização necessária;Алерт/баннер обновления;Системное / версия;Зависит;Доступно обновление приложения;BRAZIL;«Atualização necessária»;PT;Обновить;Обновить → переход к обновлению;Figma;Нет в дев-доке
T-02;Alert: Nova versão disponível;Алерт/баннер обновления;Системное / версия;Нет;Доступна новая версия;BRAZIL;«Nova versão disponível»;PT;Обновить;Обновить → переход к обновлению;Figma;Нет в дев-доке
T-03;Alert user block;Алерт;Системное / доступ;Да;Пользователь заблокирован/не зарегистрирован;BRAZIL;«Não cadastrado» и т.п.;PT;—;н/д;Figma;Нет в дев-доке
T-04;Toast: Deposit funds;Тост (success);Транзакции;Нет;Депозит подтверждён;—;«Operation confirmed»;EN;—;Авто-скрытие;Figma;Иконка warning-оранжевая при success-сообщении
T-05;Toast: Favourite added;Тост (success);UI-действие;Нет;Игра добавлена в избранное;—;«Game added to favourites»;EN;—;Авто-скрытие;Figma;—
T-06;Toast: Favourite removed;Тост (info);UI-действие;Нет;Игра удалена из избранного;—;«Remove game from favorites»;EN;—;Авто-скрытие;Figma;Формулировка-команда вместо факта («Removed»)
T-07;Toast: Atenção geo;Тост (warning);Регуляторика / гео;Нет;Включены инструменты геолокации;BRAZIL;«O uso das ferramentas de geolocalização é proibido...»;PT;—;Авто-скрытие;Figma;—
T-08;Toast: Erro ao processar;Тост (warning);Системное / ошибка;Нет;Ошибка обработки запроса;BRAZIL;«Erro ao processar a solicitação»;PT;—;Авто-скрытие;Figma;Помечен warning, но по смыслу error
T-09;Toast: Error deposit;Тост (error);Транзакции;Нет;Ошибка при депозите;—;«Error occurred while depositing funds»;EN;—;Авто-скрытие;Figma;Дублирует тему T-04 в обратном статусе
T-10;Toast: Error al inscribirse;Тост (error);Промо / розыгрыш;Нет;Ошибка записи в розыгрыш;MEXICO;«Ha surgido un problema al inscribirte...»;ES;—;Авто-скрытие;Figma;—
T-11;Toast: Limite de perdas;Тост (error);Responsible Gaming;Нет;Достигнут лимит проигрышей;BRAZIL;«...o valor das suas perdas atingiu o limite estabelecido»;PT;—;Авто-скрытие;Figma;Пересекается по смыслу с M-12/M-06
T-12;Toast: Limite de apostas;Тост (error);Responsible Gaming;Нет;Достигнут лимит ставок;BRAZIL;«...o valor das suas apostas atingiu o limite»;PT;—;Авто-скрытие;Figma;Пересекается по смыслу с M-12/M-06
T-13;Toast: Wrong type of sport;Тост (error);Бонусы / ставки;Нет;Бонус не для этого вида спорта;—;«You cannot use the bonus for this type of sport»;EN;—;Авто-скрытие;Figma;—
B-01;Bonus: Insufficient funds;Тост/попап;Бонусы / баланс;Нет;Недостаточно средств для игры;—;«To continue the game, top up your balance»;EN;—;Авто-скрытие / к пополнению;Figma;Зелёная иконка при негативном сообщении (семантика цвета)
B-02;Bonus: Activation error;Тост (error);Бонусы;Нет;Ошибка активации бонуса;—;«Contact support»;EN;—;Авто-скрытие;Figma;—
B-03;Bonus: Giros Grátis já ativos;Тост (error);Бонусы;Нет;FS уже активны в этой игре;BRAZIL;«Você já tem giros grátis ativos neste jogo»;PT;—;Авто-скрытие;Figma;—
B-04;Bonus: Incorrect bet amount;Тост (error);Бонусы / ставки;Нет;Сумма ставки не равна сумме FB;—;«Bet the full amount of the FB»;EN;—;Авто-скрытие;Figma;—
B-05;Bonus: Wager;Тост (info);Бонусы / вейджер;Нет;Ставка не идёт в отыгрыш;—;«The bet does not count towards the wager»;EN;—;Авто-скрытие;Figma;Зелёная иконка при нейтрально-негативном сообщении
